latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
52.52,13.419998,38.0,0,GMT,GMT

time,temperature_2m (Â°C)
2025-06-01T00:00,18.5
2025-06-01T01:00,18.1
2025-06-01T02:00,17.8
2025-06-01T03:00,17.0
2025-06-01T04:00,16.7
2025-06-01T05:00,17.3
2025-06-01T06:00,18.8
2025-06-01T07:00,20.2
2025-06-01T08:00,21.1
2025-06-01T09:00,22.2
2025-06-01T10:00,21.4
2025-06-01T11:00,21.7
2025-06-01T12:00,23.9
2025-06-01T13:00,25.5
2025-06-01T14:00,26.5
2025-06-01T15:00,26.5
2025-06-01T16:00,25.9
2025-06-01T17:00,22.4
2025-06-01T18:00,22.2
2025-06-01T19:00,20.8
2025-06-01T20:00,20.5
2025-06-01T21:00,19.8
2025-06-01T22:00,19.0
2025-06-01T23:00,18.0
2025-06-02T00:00,17.3
2025-06-02T01:00,16.7
2025-06-02T02:00,16.1
2025-06-02T03:00,15.5
2025-06-02T04:00,15.3
2025-06-02T05:00,15.7
2025-06-02T06:00,16.7
2025-06-02T07:00,17.8
2025-06-02T08:00,19.1
2025-06-02T09:00,19.3
2025-06-02T10:00,19.8
2025-06-02T11:00,20.5
2025-06-02T12:00,21.6
2025-06-02T13:00,19.4
2025-06-02T14:00,22.4
2025-06-02T15:00,23.3
2025-06-02T16:00,23.7
2025-06-02T17:00,23.1
2025-06-02T18:00,22.4
2025-06-02T19:00,21.0
2025-06-02T20:00,18.2
2025-06-02T21:00,17.1
2025-06-02T22:00,16.3
2025-06-02T23:00,15.6
2025-06-03T00:00,15.1
2025-06-03T01:00,14.8
2025-06-03T02:00,14.4
2025-06-03T03:00,13.9
2025-06-03T04:00,13.7
2025-06-03T05:00,14.5
2025-06-03T06:00,16.1
2025-06-03T07:00,17.8
2025-06-03T08:00,19.3
2025-06-03T09:00,20.8
2025-06-03T10:00,21.8
2025-06-03T11:00,22.8
2025-06-03T12:00,23.9
2025-06-03T13:00,25.4
2025-06-03T14:00,25.7
2025-06-03T15:00,25.8
2025-06-03T16:00,25.9
2025-06-03T17:00,25.5
2025-06-03T18:00,25.1
2025-06-03T19:00,24.3
2025-06-03T20:00,22.9
2025-06-03T21:00,21.8
2025-06-03T22:00,18.4
2025-06-03T23:00,17.8
2025-06-04T00:00,17.3
2025-06-04T01:00,17.2
2025-06-04T02:00,16.8
2025-06-04T03:00,16.1
2025-06-04T04:00,16.1
2025-06-04T05:00,17.0
2025-06-04T06:00,18.7
2025-06-04T07:00,20.6
2025-06-04T08:00,22.5
2025-06-04T09:00,24.0
2025-06-04T10:00,25.5
2025-06-04T11:00,26.5
2025-06-04T12:00,26.6
2025-06-04T13:00,26.2
2025-06-04T14:00,24.3
2025-06-04T15:00,23.7
2025-06-04T16:00,22.6
2025-06-04T17:00,22.0
2025-06-04T18:00,21.5
2025-06-04T19:00,20.8
2025-06-04T20:00,19.5
2025-06-04T21:00,18.4
2025-06-04T22:00,18.2
2025-06-04T23:00,18.0
2025-06-05T00:00,17.8
2025-06-05T01:00,17.6
2025-06-05T02:00,17.4
2025-06-05T03:00,17.2
2025-06-05T04:00,17.1
2025-06-05T05:00,17.0
2025-06-05T06:00,17.1
2025-06-05T07:00,17.5
2025-06-05T08:00,18.2
2025-06-05T09:00,18.8
2025-06-05T10:00,19.5
2025-06-05T11:00,20.2
2025-06-05T12:00,20.8
2025-06-05T13:00,21.1
2025-06-05T14:00,21.3
2025-06-05T15:00,21.3
2025-06-05T16:00,20.9
2025-06-05T17:00,20.3
2025-06-05T18:00,19.6
2025-06-05T19:00,18.7
2025-06-05T20:00,17.7
2025-06-05T21:00,16.8
2025-06-05T22:00,16.3
2025-06-05T23:00,16.1
2025-06-06T00:00,15.8
2025-06-06T01:00,15.6
2025-06-06T02:00,15.4
2025-06-06T03:00,15.4
2025-06-06T04:00,15.4
2025-06-06T05:00,15.6
2025-06-06T06:00,16.1
2025-06-06T07:00,17.3
2025-06-06T08:00,18.8
2025-06-06T09:00,20.1
2025-06-06T10:00,20.9
2025-06-06T11:00,21.5
2025-06-06T12:00,22.0
2025-06-06T13:00,22.5
2025-06-06T14:00,22.9
2025-06-06T15:00,23.2
2025-06-06T16:00,23.4
2025-06-06T17:00,23.4
2025-06-06T18:00,23.4
2025-06-06T19:00,18.8
2025-06-06T20:00,18.4
2025-06-06T21:00,18.0
2025-06-06T22:00,17.5
2025-06-06T23:00,17.0
2025-06-07T00:00,16.6
2025-06-07T01:00,16.2
2025-06-07T02:00,16.0
2025-06-07T03:00,15.9
2025-06-07T04:00,15.9
2025-06-07T05:00,16.1
2025-06-07T06:00,16.5
2025-06-07T07:00,17.2
2025-06-07T08:00,18.0
2025-06-07T09:00,18.9
2025-06-07T10:00,19.9
2025-06-07T11:00,21.1
2025-06-07T12:00,21.9
2025-06-07T13:00,22.3
2025-06-07T14:00,22.4
2025-06-07T15:00,22.2
2025-06-07T16:00,21.4
2025-06-07T17:00,20.2
2025-06-07T18:00,19.0
2025-06-07T19:00,18.0
2025-06-07T20:00,16.9
2025-06-07T21:00,15.9
2025-06-07T22:00,15.1
2025-06-07T23:00,14.5
